time;device;x;y;z
9991.2601565;"accelerometer";0.990707397460938;-0.0343017578125;-0.109420776367188
9991.2634265;"gyroscope";-0.0635845689222959;-0.0809928540198168;0.0181323985979135
9991.2699825;"accelerometer";0.9937744140625;-0.033111572265625;-0.10601806640625
9991.2734365;"gyroscope";-0.0240440835856714;-0.0386419347848317;0.0448561548724226
9991.2798095;"accelerometer";0.99884033203125;-0.0314483642578125;-0.108474731445312
9991.2834465;"gyroscope";0.0166314410075448;-0.00788428840717958;0.0502197613078422
9991.2896365;"accelerometer";1.00192260742188;-0.0224609375;-0.121109008789062
9991.2934555;"gyroscope";0.0592758405946567;-0.00696203572168514;0.0481150650983526
9991.2994625;"accelerometer";1.0064697265625;-0.01629638671875;-0.132919311523438
9991.3034655;"gyroscope";0.0955656715047304;-0.0112768893198315;0.035324967647138
9991.3092895;"accelerometer";1.0072021484375;-0.018585205078125;-0.14288330078125
9991.3134755;"gyroscope";0.100947387435563;-0.0303187574300071;0.00862890824796574
9991.3191165;"accelerometer";1.00505065917969;-0.018585205078125;-0.152099609375
9991.3234855;"gyroscope";0.0828410878163318;-0.0482578105327808;-0.0106076369378946
9991.3289425;"accelerometer";0.999237060546875;-0.015869140625;-0.151290893554688
9991.3334945;"gyroscope";0.0359113957191735;-0.0544848137936041;-0.0106411927676296
9991.3387695;"accelerometer";0.998016357421875;-0.0160980224609375;-0.150070190429688
9991.3435045;"gyroscope";-0.0280204494092687;-0.0510661139022694;-0.00748534687588572
9991.3485965;"accelerometer";0.993988037109375;-0.015716552734375;-0.1484375
9991.3535145;"gyroscope";-0.0876592788605032;-0.0508125809664938;-0.0118028636351222
9991.3584225;"accelerometer";0.993194580078125;-0.0103759765625;-0.144821166992188
9991.3635245;"gyroscope";-0.13033457111626;-0.0602420354381374;-0.0139688125496836
9991.3682185;"accelerometer";0.989730834960938;-0.0144805908203125;-0.137939453125
9991.3735345;"gyroscope";-0.142063132556969;-0.0559668629402332;-0.008637696679563
9991.3780455;"accelerometer";0.9810791015625;-0.027679443359375;-0.117599487304688
9991.3835435;"gyroscope";-0.121702200758877;-0.0262600999287263;0.0052565473595984
9991.3878725;"accelerometer";0.982406616210938;-0.0288238525390625;-0.108413696289062
9991.3935535;"gyroscope";-0.0672906238952501;9.50748509158288e-05;0.0223817384332439
9991.3976985;"accelerometer";0.991531372070312;-0.0279083251953125;-0.109207153320312
9991.4035635;"gyroscope";0.0106784770228907;0.0275338898781112;0.024569525268744
9991.4075255;"accelerometer";1.0003662109375;-0.0247650146484375;-0.113601684570312
9991.4135735;"gyroscope";0.0864701774337828;0.033742517327413;0.0118063257445393
9991.4173525;"accelerometer";1.00173950195312;-0.0162506103515625;-0.127670288085938
9991.4235825;"gyroscope";0.140812245792959;0.00280830336948856;-0.019122828207314
9991.4271785;"accelerometer";0.991714477539062;-0.0172576904296875;-0.136825561523438
9991.4335925;"gyroscope";0.163172945253591;-0.0259016384460017;-0.0458037075882728
