time;device;x;y;z
38869.443204625;"accelerometer";-0.004119873046875;-0.0478668212890625;-0.964370727539062
38869.453031625;"accelerometer";0.0007171630859375;-0.04229736328125;-1.0179443359375
38869.462857625;"accelerometer";0.0017547607421875;-0.0452880859375;-1.02156066894531
38869.472684625;"accelerometer";-0.004058837890625;-0.0492095947265625;-0.976165771484375
38869.482511625;"accelerometer";-0.004180908203125;-0.0493927001953125;-1.01307678222656
38869.492368625;"accelerometer";-0.00311279296875;-0.053070068359375;-1.01504516601562
38869.502194625;"accelerometer";-0.00592041015625;-0.051300048828125;-0.986038208007812
38869.512021625;"accelerometer";-0.001739501953125;-0.0528717041015625;-1.008544921875
38869.521848625;"accelerometer";-0.00152587890625;-0.049896240234375;-1.00790405273438
38869.531674625;"accelerometer";-0.00201416015625;-0.048583984375;-0.993667602539062
38869.541501625;"accelerometer";3.0517578125e-05;-0.0470428466796875;-1.01084899902344
38869.551328625;"accelerometer";0.0006256103515625;-0.0460205078125;-1.00733947753906
38869.561154625;"accelerometer";-0.0016632080078125;-0.0473175048828125;-0.996353149414062
38869.570981625;"accelerometer";-0.0018310546875;-0.049591064453125;-1.01205444335938
38869.580808625;"accelerometer";-0.0027008056640625;-0.0491485595703125;-1.00405883789062
38869.590634625;"accelerometer";-0.006500244140625;-0.0504302978515625;-0.999053955078125
38869.600461625;"accelerometer";-0.00140380859375;-0.0494384765625;-1.00759887695312
38869.610288625;"accelerometer";-0.001922607421875;-0.049285888671875;-1.00102233886719
38869.620145625;"accelerometer";-0.004547119140625;-0.0493316650390625;-0.996047973632812
38869.629972625;"accelerometer";-0.0010223388671875;-0.04730224609375;-1.008544921875
38869.639798625;"accelerometer";-0.0026702880859375;-0.04876708984375;-1.00349426269531
38869.649625625;"accelerometer";-0.0008392333984375;-0.0468597412109375;-1.00738525390625
38869.659452625;"accelerometer";-0.000457763671875;-0.04644775390625;-1.00637817382812
38869.669278625;"accelerometer";-0.0021514892578125;-0.04718017578125;-1.00128173828125
38869.679105625;"accelerometer";-0.0024566650390625;-0.0498199462890625;-1.00144958496094
38869.688932625;"accelerometer";-0.00091552734375;-0.048004150390625;-1.005126953125
38869.698758625;"accelerometer";-0.0007781982421875;-0.046630859375;-1.00679016113281
38869.708585625;"accelerometer";-0.0005340576171875;-0.047027587890625;-1.00347900390625
38869.710739875;"gyroscope";-0.00119682459388161;-0.0181371922878756;3.72842552611093e-06
38869.718412625;"accelerometer";-0.0005340576171875;-0.0454864501953125;-1.00436401367188
38869.720748875;"gyroscope";0.000911067408916107;-0.0224062395152727;-0.00106180232661459
38869.728238625;"accelerometer";-0.00054931640625;-0.0461883544921875;-1.003662109375
38869.730758875;"gyroscope";0.00303440574603628;-0.0224216858495951;7.98948327023771e-06
38869.738065625;"accelerometer";-0.001678466796875;-0.0464935302734375;-1.00382995605469
38869.740768875;"gyroscope";0.00944303659320296;-0.0213710687995589;-0.00105567705610741
38869.747892625;"accelerometer";-0.00250244140625;-0.049407958984375;-1.00312805175781
38869.750778875;"gyroscope";0.00622327483529716;-0.0235007987232952;1.0652644360317e-05
38869.757718625;"accelerometer";-0.00250244140625;-0.04876708984375;-0.999969482421875
38869.760787875;"gyroscope";-0.00338194826829162;-0.0255991033461687;3.99474163511886e-06
38869.767575625;"accelerometer";-0.0019683837890625;-0.047332763671875;-0.999404907226562
38869.770797875;"gyroscope";-0.0086478166917053;-0.0170421004476351;-2.13052887206339e-06
38869.777402625;"accelerometer";-0.002227783203125;-0.0490570068359375;-1.00497436523438
38869.780807875;"gyroscope";-0.0117749004436763;-0.00848563018131948;-0.00107485181595598
38869.787229625;"accelerometer";-0.0022735595703125;-0.047760009765625;-1.00404357910156
38869.790817875;"gyroscope";-0.0107093696915356;-0.00742995312521207;-6.12527050718225e-06
38869.797055625;"accelerometer";-0.0012969970703125;-0.0464019775390625;-1.00576782226562
38869.800827875;"gyroscope";-0.0160910856223678;-0.0138202081608572;0.00105967179774253
38869.806882625;"accelerometer";0.0001983642578125;-0.045318603515625;-1.00053405761719
38869.810836875;"gyroscope";-0.00969790110952355;-0.0149038484084104;-3.46210941710301e-06
38869.816709625;"accelerometer";0.000946044921875;-0.04473876953125;-1.00526428222656
38869.820816875;"gyroscope";-0.00440114001746495;-0.019192336711765;1.59789665404754e-06
38869.826535625;"accelerometer";0.000244140625;-0.044891357421875;-1.00820922851562
38869.830825875;"gyroscope";0.000918790576077337;-0.0213391108664779;-0.0010620686427236
38869.836362625;"accelerometer";-0.00299072265625;-0.048370361328125;-1.00358581542969
38869.840835875;"gyroscope";0.00518863675180138;-0.0181686175887386;0.00107671602871904
38869.846189625;"accelerometer";-0.002166748046875;-0.04937744140625;-0.999191284179688
38869.850845875;"gyroscope";-0.00543577810096073;-0.0138601555772084;0.00106766128101277
38869.856015625;"accelerometer";-0.0005340576171875;-0.0459747314453125;-1.00386047363281
38869.860855875;"gyroscope";-0.0129099397002681;-0.0159664496833521;0.00106260127494162
38869.865842625;"accelerometer";-0.0020751953125;-0.048309326171875;-0.99981689453125
38869.870864875;"gyroscope";-0.0118057931123213;-0.0106348011810134;0.0010620686427236
38869.875669625;"accelerometer";0.00054931640625;-0.04534912109375;-1.00576782226562
38869.880874875;"gyroscope";-0.0118521321152886;-0.0159779012760394;0.00213159413649942
38869.885495625;"accelerometer";-0.0001983642578125;-0.044769287109375;-1.00404357910156
38869.890884875;"gyroscope";-0.00226235534602231;-0.017073525748498;0.00107085707432086
38869.895322625;"accelerometer";0.0011138916015625;-0.044342041015625;-1.00538635253906
38869.900894875;"gyroscope";0.00516546725031769;-0.0224296753328654;9.58737992428526e-06
38869.905149625;"accelerometer";-1.52587890625e-05;-0.04425048828125;-1.00392150878906
38869.910903875;"gyroscope";0.00303440574603628;-0.0224216858495951;7.98948327023771e-06
38869.915006625;"accelerometer";-0.0008697509765625;-0.0459442138671875;-1.00137329101562
38869.920913875;"gyroscope";-0.00551300977257303;-0.0245314420651559;0.00107032444210285
38869.924832625;"accelerometer";-0.0007476806640625;-0.0478515625;-0.999008178710938
38869.930923875;"gyroscope";-0.00225463217886108;-0.0191854124929308;-0.00213319203315347
38869.934659625;"accelerometer";-0.0016021728515625;-0.04815673828125;-1.00433349609375
38869.940933875;"gyroscope";-0.00440114001746495;-0.019192336711765;1.59789665404754e-06
38869.944486625;"accelerometer";-0.0030517578125;-0.0475006103515625;-1.00579833984375
38869.950942875;"gyroscope";-0.00438569368314249;-0.0181177512119181;-0.00106686233268574
38869.954312625;"accelerometer";-0.0001373291015625;-0.045867919921875;-1.00372314453125
38869.960952875;"gyroscope";-0.000154463343224596;-0.0224022447736375;-0.00106260127494162
38869.964139625;"accelerometer";-0.0012359619140625;-0.04656982421875;-1.00350952148438
38869.970931875;"gyroscope";-0.00335877876680794;-0.0223977173997844;3.19579330809509e-06
38869.973966625;"accelerometer";-0.0009002685546875;-0.0469970703125;-0.999160766601562
38869.980941875;"gyroscope";-0.00650903202026267;-0.0159829612821105;-7.98948327023772e-07
38869.983792625;"accelerometer";-0.000274658203125;-0.046295166015625;-1.00413513183594
38869.990951875;"gyroscope";-0.00437024734882003;-0.0170431657120711;-0.00213532256202553
38869.993619625;"accelerometer";-0.00079345703125;-0.046844482421875;-0.998443603515625
38870.000961875;"gyroscope";-0.00331243976384056;-0.0159949455070159;1.59789665404754e-06
38870.003446625;"accelerometer";0.0005340576171875;-0.043731689453125;-1.00611877441406
38870.010971875;"gyroscope";-0.00230869434898969;-0.0234762976412665;0.00107245497097491
38870.013272625;"accelerometer";0.0018310546875;-0.04345703125;-1.00721740722656
38870.020980875;"gyroscope";0.0105085673453437;-0.021375063541194;-0.00105487810778039
38870.023099625;"accelerometer";0.000732421875;-0.0457916259765625;-1.00494384765625
38870.030990875;"gyroscope";0.0126087361809802;-0.0235322240241582;0.00108364024755324
38870.032926625;"accelerometer";0.0004425048828125;-0.04595947265625;-1.00212097167969
38870.041000875;"gyroscope";0.00082611257014258;-0.0330849828542724;9.05474770626941e-06
38870.042752625;"accelerometer";-0.0007781982421875;-0.045562744140625;-1.00460815429688
38870.051010875;"gyroscope";0.00724246658447049;-0.0309672371554414;-0.00105487810778039
38870.052579625;"accelerometer";-0.000579833984375;-0.045196533203125;-1.00392150878906
38870.061019875;"gyroscope";0.0179132204402;-0.026753583678718;0.00108843393751538
38870.062406625;"accelerometer";-0.0004425048828125;-0.045867919921875;-1.00608825683594
38870.071029875;"gyroscope";0.0136356510973147;-0.0299315338075096;1.78431793035309e-05
38870.072263625;"accelerometer";-0.0003509521484375;-0.04632568359375;-1.00334167480469
38870.081039875;"gyroscope";0.0125315045093679;-0.0342035105121057;0.00108630340864332
38870.082090625;"accelerometer";-0.0004119873046875;-0.0483856201171875;-0.99822998046875
38870.091049875;"gyroscope";0.0157744357687573;-0.0288723946419851;1.91747598485705e-05
38870.091916625;"accelerometer";-0.0009307861328125;-0.04620361328125;-0.996994018554688
38870.101058875;"gyroscope";0.00614604316368487;-0.0341720852112427;1.33158054503962e-05
38870.101743625;"accelerometer";-0.0009307861328125;-0.0475616455078125;-1.00387573242188
38870.111038875;"gyroscope";0.00833889000525611;-0.025643045504155;1.27831732323803e-05
38870.111569625;"accelerometer";-0.00152587890625;-0.047332763671875;-1.00164794921875
38870.121047875;"gyroscope";0.00626961383826454;-0.0149786832350417;0.00214490994194982
38870.121396625;"accelerometer";-0.0023956298828125;-0.0497283935546875;-1.00392150878906
38870.131057875;"gyroscope";-0.00438569368314249;-0.0181177512119181;-0.00106686233268574
38870.131223625;"accelerometer";-0.001495361328125;-0.048675537109375;-1.00193786621094
38870.141049625;"accelerometer";-0.00054931640625;-0.047882080078125;-0.997268676757812
38870.141067875;"gyroscope";-0.00969790110952355;-0.0149038484084104;-3.46210941710301e-06
38870.150876625;"accelerometer";-0.000213623046875;-0.0464324951171875;-1.00474548339844
38870.151077875;"gyroscope";-0.00967473160803986;-0.0106427906642837;0.00106366653937765
38870.160703625;"accelerometer";0.0001220703125;-0.0448760986328125;-1.00755310058594
38870.161087875;"gyroscope";-0.00757456277240337;-0.0149192947427329;0.00106632970046773
38870.170529625;"accelerometer";0.000457763671875;-0.0422821044921875;-1.00758361816406
38870.171096875;"gyroscope";0.00309619108332612;-0.0149443284569796;-0.0010620686427236
38870.180356625;"accelerometer";0.0006866455078125;-0.045379638671875;-1.00105285644531
38870.181106875;"gyroscope";0.0104931210110212;-0.0213899772432984;0.00108150971868118
38870.190183625;"accelerometer";-0.001068115234375;-0.0479278564453125;-0.999557495117188
38870.191116875;"gyroscope";0.00301895941171382;-0.0256156149449272;-0.00105940548163352
